sentiment,review
Positive,trailer kanditu ithenkilum pwoliyillannu thonnunu..   nb:- njan oru katta #mohalal fan aanu
Positive,face kanikkathe mass kanikkanamengil ikkakke sadhikku
Positive,bgm kollam greater father ila villianila poola
Positive,Ninga polik ikka namma undu koode......alla pinne..
Negative,Ee dislike addikunnvarode .....onnum paryaanilla.....naldukandal aghikarikaan padikk
Positive,Ntikkaa ingal age 67 aano atho......off myaarakam...ummmaaah
Positive,Theaterukal origiko June 16 house full perumazayayirikum
Positive,Oo ikkkaa polichu enikk uraappaa 100cr ethavum maasssyaaa trailer oru raksyumillaaa ikkaa
Positive,Ithilum mikacha trailer swapnangalil mathram
Positive,Ikka ethu lookil vannalum polichadukkum
Negative,Pooran mamooty
Positive,Njn epo 100 vattam kandu ningalo?
Positive,ikka ningal enthina ingane njangale romanjam kollikane🤗
Positive,Ikkayude aaa varavu kandittu box office theernnanna thonnunne
Negative,Flop padam and copy sundars music itu orappayitum oola padama
Positive,Spr     ikkkkkaaaaaa
Positive,Oru raksha illa ikka marana mass
Positive,Heavy Waiting
Positive,naale release aakane patto veyya wait cheyyan
Positive,Haneef adeni  Ninakevdunna mone ijjathi kolakolly items kitenne Vere level
Positive,ee pulli great father inte grand father aaayi varum....kolakolli item
Positive,Padachooone....BGM..kett vaaa polich poyath njn mathram aaahno.?
Positive,Inganethe massinde koode aa mukhavum kanichal kidukkum
Positive,Ethu Pwolikum  Mammookha  BGM Verai level
Positive,Nanippa ethra vattayi ith kananath enta ikka mass kanikkan ikkana kayinnale Vera alollu
Positive,Supperb ikka pwolichuu..ikkaa swoth baaki ellaam myr
Positive,Eee eid ikka ang edutthu ennu paranjekk
Positive,Ikka   pwolikkum   bgm pwolichu
Positive,Enna.....or kidilan bgn aanu.. ith polikkum
Negative,Kuru pottikkan aarum varanda...ith vere level aan makkale
Positive,IKKA PWOLI BGM oru rakshayum illa
Positive,june 16nu Oru addar item varunnund  Derick Abraham
Positive,entammo english trailer kaanunna feel.. ith polikkum
Negative,Koora Trailer iyalkku ee pani nirthi pokkode
Positive,Trailer ennoke paranja ethanu ..ente ponn hari anna ethonn onn eduth kaanu
Positive,New 100cr malayalam move. Ikka massss
Positive,mass aaan ikka ninga vere level aan
Positive,bilalainu david nainanu undaya nalla kolakolli item
Positive,Adipoli ikka... Kolakolliaittam nnparanjappo ethrapradeekshichilla sooooper
Positive,Kiduveeee....kidilosky. .onnum parayanilla...adipwoli Hollywood touch...bgm ente ponnoooo...ikka fans vann pwolikkada
Positive,Malayala cinema record thkarkan varunuu athiradi mass movie abrhaminte santhathikal
Positive,Hollywood level mass ithanu makkale trailer
Positive,0:32 repeat mode.... Swag...mammookka... Vere level bgm....vere level trailer.... Fdfs....sure
Positive,Gopi annan  Namichu   Kidukkachi bgm  Kidukki
Positive,kidu  katta waiting    mamamookkaaaa
Positive,Asoooya thonua ikka...  Ikkka nigalu Maass aanu
Positive,Lalettan itra look il ee aduthengum kanditilla
Negative,Swondham appane kandal adikunnavanmara ithinoke dislike adikunne. Adichondu avide irikathe ullu. Ivide ettanm pillerum stronga dbl strong
Negative,Dislike adichu de grade cheyyamennathu mohamalla setanmare..vyamoham
Negative,Lucifer lostfer aavandirunna mathiyayirunnu .kandittu adutha floapinulla sakalathum kaanunnundu
Positive,Shooooo....9 manikku kaanan thodangiyadhaa....12:30 aayi....ethra vattam kandu ennadhinum kanakkilaa....nirthaan pattunilalo.....oru katta Mohanlal prithviraj aaradhakande rodhanam!!!!!
Positive,212k views
Positive,Ee role cheyan Lalettan mathrame pattu!
Negative,Dislike kunnamare olupundel poi kettithugi chavda pannikale
Negative,Dislike adichavarkk ente vaka naduviral namskaaram
Negative,within 3hrs- 212k views
Positive,Mr. Pritviraj ithaano simple cinema???? Ente romam ippozhum eneettu nilkkuva
Negative,ade maireada dislike adichirikkunde plastic fans ayirikkum
Negative,Nalla assal moonjjal thank you lola
Negative,Dislike adicha guhanolikalkk...നടു വിരൽ നമസ്കാരം
Positive,Rajayod thalkalam varendenn paranjek...Stephen kalippilanu.katta kalippil.oru rakshayumilla..polich ponnu
Positive,Addddiiiiipolliiiii.....marana masss.....oru sakshem illa....lalettande kidu look.....🤩🤩
Negative,20k dislike adichavan okke ethu guhayil irikkuvano entho
Positive,Ooh!! Mass ennoke paranjal para masss... Lalettan kiii
Negative,Ethine dislike adicha nainte makkal eatgaaa
Positive,lalettan rocks  thanks rajuetta  LUCIFER loading
Positive,Lalettan Masss Lalettan ki jaiii
Positive,Njan mathramano e trailer onnil adhikam thavana kandath
Positive,Lalettan ishttam.. Rajuettan ishttam!! Murali Gopi's script
Negative,Dislike adicha thayolikal etha vaaaa...ithu polorennam kandittu dislike adikkan thonniyallo
Positive,Rajuvettan mass ...lalettan kola mass  Ndhaa parayaa lleaa njan onnoode kandechum varaam....
Positive,Sreekumar avila prithiraj ennulla viswasam und .... So all best u guys
Positive,Entammo..... Kidu item. Oru rakshem illa.
Positive,Mohanlalinte ee film engilum hit aayal matiyaarinnu...maduthu odiyente kuttam keettu keetee... Kaata lalaetta fan adi like
Negative,Arenkilum poi aa  srreeeekumaarane onnu vilich kaanich kodukkedoo  entha  etha  cinemannu  .....&&&&@@@
Positive,Mass trailer... Lalettaaaaa oru rakshayumilla. Pwolichu... Lalettan muthaanu... Prithvi sarikum njettichu. Lalettan+prithvi=Lucifer(blockbuster )... Lalettan ishtam
Positive,mollywood industrik oru otta pere ullu MOHANLAL
Negative,Madhuramilatha raja ettadi mari ith item vereya LUCIFER
Positive,192K Views
Positive,Trailer pole naalla story undayal mathiyarinu
Positive,192k views and 196k likes masmarikam
Positive,Oru kgf trailer polee.. Lalettan pakkaa massss
Positive,Film hitayalum floppayalum trailerinirikate oru kuthirappavan
Positive,Oru rekshayum illa...kidilam kannu nananjupoyi
Positive,Kolakolli enoke paranjaa ithaanu.. Repeat mode ini on thanne aayirikkum...
Positive,lalettan Polichu adukki oru rakshyum Illaa
Positive,Kandittum kandittum mathiyavanilladoooo.... Endutta mothal ithu....  Devil rules  Stephen nedumballi rules  Ettan rulesssss 🤩
Positive,Trailer repeat kandukondirikkan thonnum.. LALETTAN.. ISHTAM
Negative,Daivam oroon kond varum... Ennit pottipoliyum... Verute collection kittan vendiii advertisement🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Positive,Sathyathil abhinandanagal ariyikkendathu Prithvirajinanu. Thakarthu kalanjallo muthu
Negative,Sreekumara menone naari nee ithonnu kaanu
Positive,Marana mass kettitellu. Eppam kandu.  Prithi & lalettan combo polikuumm
Positive,Election time l kanan pattya film
Negative,Athu ___ Makkladaa ee jathi iteamsoka dislike cheyyunaaa.... Raju vs Lalu...
Negative,Dislike count kootan budhimuttuna chila aalukal
Positive,Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer  ethra pravisham kandittum mathiyaunnilla
Negative,Oru pandi padathinte trailer innu irangiyitundu...kandavar onnu parayane..avide ellaam thribilaa🤣🤣🤣
Negative,Nairmare vendannu paranja Kallamark kanich koduk ...Nairmarude karuth...lalettan and prithivi...tholpikkanam ee electinu....
Positive,As a mammokka fan trailer kidukki padam nalla oru vijayamayi theeratte
Positive,annaa njagal katta waiting aanu abudhabi dalma mallil... annanem pillarem kanan...
Positive,Adipowli trailor rajuvetta ettane powerful eyes ela seenillum
Positive,Star cast ile N F Varghese sir inne undayirunangile lalettanta kudey poliche adukiyene lucifer movieyile
Negative,Maduraraja 4hrs 96likes & 9k comments....Lucifer 2hrs 189likes & 12k comments...ettanodum pillerodum muttan varrale...mohanlalwood
Positive,King is oll ways king 🤙  ഏട്ടൻ ഇഷ്ട്ടം
Negative,Manju varrier mathrame ulluvo actresss ayi kollilla
Positive,Mammookka fight ohh romam ezhunetu nililkkum
Positive,Enthayalum Nov 21 nu thanne kananam
Positive,Veendum veendum kanunna ore oru trailer Mamangam
Positive,Ethra kandalum oru madukunilla ee trailer
Positive,Mamangam keralam kanda ettavum valliya hit akkum
Positive,Waiting  3pravashyam  kanum  releaseday
Positive,Mamangam ikka ithre vendu katta waiting
Positive,Entamooo  veendum veendum kanan thonanuuuu
Negative,Nalla oombiya trailer.. Mammootty kilavane kayaril ketti pokkunnathu kanan ente patti pokum...
Positive,Ippozhum #1 trending   Ikka enna summava
Positive,Ethra kandalum veendum kanan thonunna trailer.
Positive,Ee trailer Anu ippo most comments olla Malayalam trailer
Positive,ഇത് #Mega star ന്റെ #mega mamangam#
Positive,Unni mukundante courier maatan povunna movie aarikum mamankam
Positive,Mammootty enna name thanne mathi charithra cinimakal poyi kaanan
Positive,Kandittum kandittum  mathiyavunnilla  uff ijjathi item  #mamangam #mammookka
Positive,Indhrans fansinte ellaa aashamsakalum supportum!!! Pwolikku makkale!!!!!
Positive,Ethra vattam kandu ennu areela
Positive,Ethu puthu charitharam.
Positive,Ippol thanne ethra pravashyam Kandu ennu enikkariyilla
Positive,Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu
Positive,Oru divasasam oru 10 pravashyamenkilum kanum
Negative,To be very frank
Positive,#mammookka    aa peru m
Positive,immathiri item ellam abhrapaliyil kananamenkil innum ee arupathiyettukaran orungiyiranganamennathu enthoru virodhabhasamanu #proudofyou mammookka
Negative,Ithinum dislike adikkunnavar enth kanditta enne ariyilla..
Positive,mammookka uff ijjathy trailer..romanjam mathram !
Positive,ingeru karanam abhimanikkam oroo malayalikkum
Positive,mammookkaye ee traileril kandu njettattavar aarum undavilla !
Positive,malayala sinimakkoru puthiya charithram pirakkatte !
Positive,aadhyamayittanu oru nmalayala sinimayude trailer ithrayum dhivasam trendingil nilkkunnath !
Positive,Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..
Positive,Idivett trailer . Mammukka ennum njangalde swantham
Positive,veendum veendum kandu addict aayi poi
Positive,idum kuudi 37 aamathe repeat adi
Negative,Trailer undakiyarithi valare mosham ann. Ith kanumbol enik oru feelum vannilla.
Positive,Krithyamayi paranjal 30amathe thavana aan trailer kanunnath.
Positive,Onnum venda ....ikkade aaa sound ....oh enjadhi basss
Negative,Eatho Kure eannangal dislike... Anganeyum Kure eannangal
Positive,Katta Waiting ikka  Mamangam  Nov 21 FDFS
Positive,Pazhassiraja sharathkumar polichath pole mamankam unnimukundanum polichadukkatte.... Fit body yaar
Positive,Anu sithara & kaniha menon നായികമാർ........ Lovable...... and mammookka is always KING
Negative,theateril elaarkum moonjiya expression aannallo kandu kazhinju
Negative,Ithilum valiya verupikal padam swapnagalil mathram
Positive,Orru onnonara range padam aahntaa ee padam
Positive,Film oru raksha illa .... adipwoli
Positive,Padam mass verum mass alla kola mass
Negative,Ithupole mooonchiya Oru padam jeevithathil kanditillaaa.....
Positive,E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu
Positive,Kalakkan movie..... Fight & background music... Okke Vera level......
Positive,Ikka Arya prithi surajettan Puthiya payyanmaru Ahana Ellarum pwolichutta
Positive,Ettan fan aaanu but nallathu kandal nallathanu ennu thanne parayum.....ikka mass aaayittund ....ithu pwolikkum
Positive,Mammooka super nalla trailer prithviraj voice
Positive,Mammukka
Negative,Adutha flop
Negative,Angane 70 vayassulla vridhan schoolil ethiyo?
Positive,ooro secondum mmakkayude entrik vendi waiting aayirunnu
Positive,Uyante mone.......!!!!!! Ith eeeeth lookkaa mammootty ....... Vere level.....
Positive,Oh . Oru rakshem illa . Emmadiri item .
Positive,Terror bgm theater ilakki marikkunna item aanenn oru soochana iam waiting
Positive,mammookka oru rakshayum Illa kiddu
Positive,trailer powli aayi.cinemayum angane thanne aavum enn pratheekshikkunnu
Positive,Superb trailer from lalettan fan ....ikka polichu
Positive,Lalettan faanan but ee trailer kidukki tto
Positive,Ikka         L V  U
Negative,Enna njan oru kaaryam parayatte..ee padam pottum....odiyan avashtha aavum..mark my words
Positive,Arum angna kuttam parayatha oru trailer Nice #MAMMOOTTY !
Negative,Ithokkey kandittaanu iparthey pillaru schoolilum collegilum adiyum pidiyum vazhakkum ondakunnadhu
Positive,BGM kidukkiiiiiiiii makkale koode mammukka combi 🤩
Positive,Onnum parayanilla... ഒരു pidiyum kittunnilla... waiting for.... pathinettam പടി..... Rockkk Mammookka .
Positive,Ennum ee trailer kandavarr undo. Katta waiting
Positive,Njan karuthi padam mari postiyennu mammuka last vannappo samadanaayi
Negative,Dislike adichirikanadu lalappan tenddikalairikum kolani valangal fuuu
Positive,Kozhikode model school    innum   marikkaatha   vikaaramaanu   geevithathil...
Positive,Adipoli mass padam aarikkum. Ikkede alle padam
Positive,Variety cinemayude rajav  mammooseeee ikkaaaaaaa
Positive,Ee 2019 enna varsham Maamookkant thanne aan
Positive,Mamookante scene oo romancham a scene matram njan vindum vindum kanunu
Positive,Ettan fansinte katta support to ikka
Positive,Oru ADAR Trailer  Ikkante look polichu .
Positive,EMPURAANum ithum koodi orumichu release cheyyanam.... Pwoliyarikkum.
Positive,Super trailer  ikka enth look aahnn
Positive,Aa traileril Nakul Thampiye shradhichath njn maathram aano ???  Mammookka ingal muthaan.Kann edukaane pattunnillaa.... #Mammukka ishttam
Positive,mamooka enn uyir  enn anbu enn singamda enn muth mani... 300crore adikum
Positive,Powli ikka
Positive,Oru rakshem illa  Marana Mass
Positive,Masss katta waiting Ikka rajuettan fans
Positive,Raj ettan & mamooka ethu polikum
Positive,Ente ponnnoooooooooooo oru rekshsyum illaaaaaa....kidu trailer......
Positive,Oru rakshayum illa trailer pwolichi  padam maximum theatril thanne poi kanaan nokkum Mohanlal fan
Positive,Trailer ithanenkil padathinte kaaryam parayanundo padam koluthiyal bahubaliyude colectionkke pazhamkadha
Positive,pullikku 68 aano 18 aano outstanding body language
Positive,Nta ponnu ikkaaee manushyanu age onnum oru preshnavum alaa
Positive,Dileepettan fans vaka best of luck
Positive,Ikka fans like button adich pwolik ore oru naayakan
Positive,All Kerala lalettan fansite ellavida ashamsakkalum.
Positive,Sound  modulation  Indian cinimayil mammookka athu kayinje vere aarum varathullu..
Positive,Appo 21 kanum   Uff poli item
Positive,Mammookkayude sound oru rekshayum illa pwolii
Positive,13 minutes 94k viewers  ith polikkum
Positive,Ikka fan alla ennalum ith ikkade etavum valiya blockbuster avate Ennan agraham
Positive,Ikka fans mathramalla ettan fansum undu...Box officeeee Chaavaan thayyaraayikko ...Mamangam
Positive,Trailer kanunnathinumunpe aadyam dislike adichu. Trailer kand kazhinj like adichu. Kidu.. fdfs
Positive,Innevare kandattillatha vere level item .
Positive,Pwolii trailer action okke pakka...  Ikka fans🤩
Positive,ha samadanamayi vannallo eni agg mamanga maholsavam
Positive,MAMMUKKA FANS LIKE ADI Mammukka uff vere level
Positive,Onnum parayanilla onnu matram mammookkayaan ente  lahari..............
Positive,headset vechu kandunokk oru onnantharam kidilolski
Positive,Ikka Oru reskhem illatha trailer. Katta ikka fans . Like adich pwolik!!!
Positive,masss....  ikkaa
Positive,Etinum valiya surprise enni njngallu kittan ella
Positive,Mammooka ninghal mass aa pwoli item
Positive,Ijjathi item Mammookka ningalk vayass 68 thanneyano
Positive,onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩
Positive,Uff  Romanjam.... Marana  mass
Positive,Malayala cinema yude thalavara maattum e padam
Positive,Ufff  ejjathi nte ponn ikka. MAMMOOKKA UYIR
Positive,Onnil kooduthal like adikunna option undoooo
Positive,oru rakshayillaaaaaaaaaaa . mass nte extreme
Positive,Ikkauda oru Mikacha movie thannayairikkum ithu urappuu MA- angam
Positive,Aa sound keetitt romancham vannavar ethra perundd ivide..
Negative,369 dislike myrol ikka uyir haters myr
Positive,Ente ponnoo ejjathi  Ithu malayalathinte oreoru mamangam
Positive,Trailer ittapozhekku dislike vannu athinu Artham avar ikkye pedikkunuuu. Love u ikkka
Negative,Deslike adicha ella punnara makkalkum nanni
Positive,Superb & promising  trailer
Positive,Romanjam...  uff ikkaaaaa polich... 🥰
Negative,Myr guhan nnthuva  ee kattunnath🤣
Positive,Kidu trailer.  iniyulla Kali ikkayude pilleru nokkikolam triple strongode
Positive,Enatammo pwoli itemm marana mass trailer
Positive,Hvy iteam
Positive,Natmmooo. Oru raksemm teaser ulla problems oke ozhivaki
Positive,Unniyettan Polichuu.Unni Mukundan Fans Like Here
Positive,Oru poli polikum 21n ......pooram kanan chry abhinaya ......ang por
Positive,Ente ponno..... Heavy.... BGM... Ikka pinne parayanilla....2 looks kidilosky 🤩🤩 Overall kidukkachi aahn Mone...
Positive,Ekkkaaaaa .... Kaathirunath veruthe aayillaaa ... Heavy item .. Ekka fans hit the button ..
Positive,Ikkka romajam ikkka uyir poli ennni 21 kannnam
Positive,ഈശ്വര Comment idaan onnum kittinilallo FULL രോമാഞ്ചം
Positive,Ente ponno ah sound🥰🥰 poli poli🤘
Positive,Pwoli pwoli ee prayathilum enta amoooikkaaaa
Positive,ikka dlg delivery oru rakshayumilla ... love uuuhhhhh ikkaaaaa
Negative,Poojapura mohanan fans moonchi. ഇക്ക പൊളി
Positive,Uff ijjadi item romanjam ikka fans like adich polikk
Positive,Ijjathi...ente ponne...namichu ikka nigale...mamangam maha yudham
Positive,Adaaar adaaar adaaaar what a trailer it was damn
Positive,Kidilan trailer vere level
Positive,Entammoo... Serikum romancham. Lalettaaa
Negative,Dislike adikkunnna 12 k kundanmare poyi ooombikkolu adhey nadkkuuu nanamkettttav hijadagal
Positive,Just waiting lalettattan mass. Kolakolli item
Positive,Fastest 100k trailer laletta ingal poli
Positive,Entammoooooooo..enikku kanan vayyaye.....ente ettaaaaaaaaaaaaaaa...........onnum parayan thonnunilla.....njan sthabhichu poyiiii.........
Positive,Ambooo pwoli oru rekshem illa lalettaaa poliiii
Positive,Good Luck Prithviraj And Lalettaaa Pwlichekkane...
Positive,Lalettan polichu kidilam I am waiting  all lalettan fans
Negative,Ente ponno ijjathi Raya kandam vazhi oodi eetahhh
Negative,Nthu dislikes an... Ninnekondekke dislike cheyyane pattu...
Positive,Ufffff .... katta katta waiting ...   Goosebumps
Positive,Oru raksha illa oru adaar item  Marana Mass Ennu Paranjaal ithanu  Super Super Super
Positive,No words Pwolikkum waiting By DQ Fan
Positive,All the best laletta ithrem naalum kaliyiakiya naavu kondu parayuva all the BEST
Positive,Manju chechiiiiii n lalettan back again
Positive,Raju etta ningal pwoliya. + Lal etta ningal marana mass. Eth pwolikum. Vere level aanu
Positive,Lalettnje engne kanan agrahichu ath angne namnal kandu
Negative,Eee trailer kanditt dislike adichavan mareyokke sammathikkanam..
Positive,Spr item rajuettan nalla making Lalettante karyam parayandallo
Positive,Trailer ethu pola kanikana ayirunnu eni 28march vara weight cheyan avilla ....heavy mass
Positive,103k likes within 36 minutes Ufff pwoli lalettaaa...  Waiting #Mamookka_fan
Negative,Dislike adikkunnavar trailer kaanathe dislike adikkan mathram vannavar..
Positive,പൊളി ട്രെയ്‌ലർ ലാലേട്ടൻ & പൃഥ്വിരാജ് This deal is with the devil.... Pwoli.... Can't wait....
Positive,Orotta scene ullelum Tovino pwolich traileril.1000 likes nmmde muthinu
Negative,eda rithwik nine njan theriparjilaloo ennitt ninte samkkaram kanichuvale f fff .valarthu dhosham nint ppp
Positive,Fdfs kerunnavr adikk stephen nedumballikk like ..... ettan kolakolli mass.... with class
Positive,Lalettan annum innum ennum mollywood raja
Negative,Mohanlal n ee veruppikal  nirtikuude... Enth kaaanichalum   stuthi  paadan kure koonathile  pans.....
Positive,Lalettan Salam. Otha enna trailer uh. Last one minute is absolute Goosebumps. Mangalasery neelakandan Karthikeyan odanno Kali..
Positive,Njangada nattila shooting cheythe Prithviraj vere level
Positive,Oru 10 thavana kandu
Negative,Dis like adikkan kure myranmar vannolum
Positive,ഇവാൻ  spycho aaadaaa    Ente epono ijathi
Negative,Aarada dislike adikkane ethil entha kuzhappam
Positive,Mass uff no reksha ingale powliyaane lalettaaaaaa lb u
Positive,Lalettaaa sahikkunnillaa waiting for you.... Stephen.....
Positive,Kidillam... Lalettan maranna mass.....  prithvi... Direction... First time.. unbelievable...
Positive,Enth kondum madura rajayekal 100 madangu masss
Positive,LALETTAN VIKARAMALLA NAMMUDE AHAGARAMANE  LOVE YOU LALETTA
Positive,Classum massum cherna oru onnonnara item
Positive,Super  bb.  Lalettaaaa
Negative,Kore thendikal unlike edand stop cheyyuka
Positive,Poli poli LUCIFER.....1ST DAY 1ST SHOW
Negative,Ith dislike cheytha 12k aalkar aaranenu parayandallo
Negative,Ithu dislike adichavar ikka fans mathramayirikum ennathan
Positive,Polichu  Pakka Oru Telugu Thriller Movie Pole Und.. Enthayalum Lucifer Theater Polichadukkam...
Positive,Onnum parayanilla enna parayana lalettane enik vayya
Positive,entaponno njettichu pratheekshichathilum appuram   rajakku pattia athirali thanne. trailerinte 2nd half kodoora maaaaaaassssss.
Positive,Etttaaaaaaaaaaa🤗🤗🤗🤗🤗🤗... U R the real ahangaram 4 ouR mollywooood
Positive,oh my god this is superbbbbb
Positive,Trailer mass marana mass... Ini screen il... Padam kanan njnm undkum
Positive,Ntey mashey...... Sammadikoollalley ikka fan akann......
Positive,Ee Easter um Vishum njangal angu eduthu..
Positive,E oru trailarinu vendiyanu njan kathirunnathu powliyanu... Kiduvanu... katta massanu....
Positive,Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.
Positive,Ithu njangal polichadukkum. Love you latetta.....
Positive,Ufff.. Ejjathi item mone   Vakkukal varunila ..etta.
Negative,Raja massinte appanayittu varum eee stephente mass.
Negative,Enthu kandita dislike adikune Mamooka fans. Mohanlal haters step back Lucifer is comeing
Positive,Oru thavana kanumbozhum hype kooduvanallo Bhaghavane
Negative,Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....
Negative,njan parayunnu eetavum valiya big flop aayirikkum
Positive,Ikka fan aanne  Ennalum parayuva kolakolli item
Positive,Nte ponno ...Maranamass trailor....Laletta it polichadukkum
Positive,Mass +class = #lalettan Nalla katta kidu look...
Positive,Katta vishayam oru rekshem illa etta fdfs
Positive,ente ponnu lalettaa after narasimham  ithaanu padam!
Positive,No words to say katta pwoli van mass
